time,time_s,H_axis_near,H_axis_near_raw,H_axis_near_min,H_center_region,H_center_region_raw,H_center_region_min,H_robust_main_interface,H_raw_global,axis_interface_points_count,center_interface_points_count,number_of_interface_components,main_component_length,axis_component_length,center_component_length,pseudo_spike_flag,near_top_flag,late_time_flag,cavity_or_rebound_proxy_m,H_m,H_mm
0.0055000000000000005,0.0055000000000000005,nan,nan,nan,6.233936263432989e-05,6.526254096403735e-05,6.798974369888121e-06,0.00014232975249499496,0.0001532150648842898,0,2,1,0.03387061185031791,0.0,0.0010520470055726296,False,False,True,5.554038826444176e-05,6.233936263432989e-05,0.06233936263432989
0.0056,0.0056,nan,nan,nan,6.233936263432989e-05,6.526254096403735e-05,6.798974369888121e-06,0.00014232975249499496,0.0001532150648842898,0,2,1,0.03387061185031791,0.0,0.0010520470055726296,False,False,True,5.554038826444176e-05,6.233936263432989e-05,0.06233936263432989
0.0057,0.0057,nan,nan,nan,6.233936263432989e-05,6.526254096403735e-05,6.798974369888122e-06,0.00014232975249499496,0.0001532150648842898,0,2,1,0.03387061185031791,0.0,0.0010520470055726296,False,False,True,5.554038826444176e-05,6.233936263432989e-05,0.06233936263432989
0.0058000000000000005,0.0058000000000000005,nan,nan,nan,6.233936263432989e-05,6.526254096403735e-05,6.798974369888121e-06,0.00014232975249499496,0.0001532150648842898,0,2,1,0.03387061185031791,0.0,0.0010520470055726296,False,False,True,5.554038826444176e-05,6.233936263432989e-05,0.06233936263432989
0.0059,0.0059,nan,nan,nan,6.233936263432989e-05,6.526254096403735e-05,6.798974369888121e-06,0.00014232975249499496,0.0001532150648842898,0,2,1,0.03387061185031791,0.0,0.0010520470055726296,False,False,True,5.554038826444176e-05,6.233936263432989e-05,0.06233936263432989
0.006,0.006,nan,nan,nan,6.233936263432989e-05,6.526254096403735e-05,6.798974369888122e-06,0.00014232975249499496,0.0001532150648842898,0,2,1,0.03387061185031791,0.0,0.0010520470055726296,False,False,True,5.554038826444176e-05,6.233936263432989e-05,0.06233936263432989
0.0061,0.0061,nan,nan,nan,6.233936263432989e-05,6.526254096403735e-05,6.798974369888122e-06,0.00014232975249499496,0.0001532150648842898,0,2,1,0.03387061185031791,0.0,0.0010520470055726296,False,False,True,5.554038826444176e-05,6.233936263432989e-05,0.06233936263432989
0.006200000000000001,0.006200000000000001,nan,nan,nan,6.233936263432989e-05,6.526254096403735e-05,6.798974369888122e-06,0.00014232975249499496,0.0001532150648842898,0,2,1,0.03387061185031791,0.0,0.0010520470055726296,False,False,True,5.554038826444176e-05,6.233936263432989e-05,0.06233936263432989
0.0063,0.0063,nan,nan,nan,6.233936263432989e-05,6.526254096403735e-05,6.798974369888121e-06,0.00014232975249499496,0.0001532150648842898,0,2,1,0.03387061185031791,0.0,0.0010520470055726296,False,False,True,5.554038826444176e-05,6.233936263432989e-05,0.06233936263432989
0.0064,0.0064,nan,nan,nan,6.233936263432989e-05,6.526254096403735e-05,6.798974369888121e-06,0.00014232975249499496,0.0001532150648842898,0,2,1,0.03387061185031791,0.0,0.0010520470055726296,False,False,True,5.554038826444176e-05,6.233936263432989e-05,0.06233936263432989
