case_id,time,H_median,H_mean,H_p95,H_p99,pseudo_spike_ROI_flag,interface_points_count,main_component_points_count,interface_roughness_peak_to_peak
D2,0.0004,-1.1532536344538061e-06,-2.1337550869583973e-05,0.00010808074463404653,0.00016342192160729918,True,117,117,0.0011913991064487215
D2,0.0005,-9.889293138764401e-07,-2.126356492634432e-05,0.00010736350143335,0.00016276443453674567,True,117,117,0.0011890374381503628
D2,0.0006000000000000001,-8.83546898067144e-07,-2.1185597680108284e-05,0.00010662032679263254,0.0001620848969012151,True,117,117,0.0011866469176315141
D2,0.0007,-8.35835329075684e-07,-2.110312255502107e-05,0.00010584816629022151,0.00016138050483719,True,117,117,0.0011842213848653979
D2,0.0008,-7.629037270383581e-07,-2.1014376021842792e-05,0.00010503486488261931,0.00016064006302075063,True,117,117,0.0011817338952497553
D2,0.0009000000000000001,-7.155939304566585e-07,-2.09232470077358e-05,0.00010420728080824225,0.00015988703426402822,True,117,117,0.001179228261180795
D2,0.001,-6.454852759314879e-07,-2.082791770504643e-05,0.0001033553543834703,0.00015911163834525494,True,117,117,0.0011766939484368559
D2,0.0011,-4.1340558384970593e-07,-2.072906256565144e-05,0.00010248300968067449,0.00015831765997248676,True,117,117,0.001174135537684545
D2,0.0012000000000000001,-2.2583121636511225e-07,-2.0625900705104576e-05,0.00010158775344487039,0.00015750188674366604,True,117,117,0.0011715394150799297
D2,0.0013000000000000002,-3.32884983902102e-07,-2.0518067608664617e-05,0.00010066840080711316,0.00015666284709555758,True,117,117,0.001168899525908873
D2,0.0014,-1.1557261478937391e-07,-2.0405878164034226e-05,9.97258965451791e-05,0.00015580189320375213,True,117,117,0.001166222021368837
D2,0.0015,-2.6436091651779172e-08,-2.0289340948835816e-05,9.87635043955169e-05,0.000154920543276571,True,117,117,0.0011635089554619359
D2,0.0016,5.541804126029835e-08,-2.0168427292408217e-05,9.778126060662603e-05,0.00015401876567647,True,117,117,0.0011607602146501356
D2,0.0017000000000000001,7.847992428150355e-08,-2.0043057744529903e-05,9.677805078261824e-05,0.00015309597775574856,True,117,117,0.0011579749153810045
D2,0.0018000000000000002,1.3666913618135966e-07,-1.9913338583522754e-05,9.575879248735356e-05,0.00015215485379567852,True,117,117,0.0011551560546003022
D2,0.0019,1.9876812057547343e-07,-1.977919083223369e-05,9.472224578245272e-05,0.00015119466267549323,True,117,117,0.0011523026891930108
D2,0.002,4.4759961606222076e-07,-1.9640545411557333e-05,9.36675729611825e-05,0.0001502148961257103,True,117,117,0.001149414128244234
D2,0.0021000000000000003,4.6793199597944994e-07,-1.949783726885054e-05,9.260135796304543e-05,0.00014921928754491574,True,117,117,0.0011464941082494169
D2,0.0022,4.1090435616884064e-07,-1.935081438019816e-05,9.152064413283522e-05,0.0001482060834444182,True,117,117,0.0011435407145680568
D2,0.0023,4.906434006724111e-07,-1.919951118997945e-05,9.042605405089235e-05,0.0001471756897690112,True,117,117,0.0011405555415616646
D2,0.0024000000000000002,5.736268332920554e-07,-1.9045372838980363e-05,8.91913803166739e-05,0.00014613766669085998,True,117,117,0.0011375677986870552
D2,0.0025,6.604803193006469e-07,-1.8887607360451805e-05,8.794421412197117e-05,0.00014508707943405568,True,117,117,0.0011345625524112877
D2,0.0026000000000000003,7.512300473179532e-07,-1.8726171346436195e-05,8.668648202871725e-05,0.00014402385544950655,True,117,117,0.0011315396793732772
D2,0.0027,8.459027562794218e-07,-1.8561400836194203e-05,8.541812931270285e-05,0.00014294792160232935,True,117,117,0.0011284990546892386
D2,0.0028,8.466440729918106e-07,-1.839347398194546e-05,8.414053390561632e-05,0.0001418601242258326,True,117,117,0.0011254420110694318
D2,0.0029000000000000002,9.443504734981875e-07,-1.82228549322321e-05,8.287256074384964e-05,0.00014077252722366148,True,117,117,0.0011223876892082472
D2,0.003,1.0988192931157945e-06,-1.8048805347908923e-05,8.160101732788001e-05,0.00013967660670269436,True,117,117,0.0011193225881883826
D2,0.0031000000000000003,1.2552563108931376e-06,-1.787128429755734e-05,8.013863838753287e-05,0.00013857231801489954,True,117,117,0.0011162466438029489
D2,0.0032,1.0878572422870399e-06,-1.7690249763725772e-05,7.864909317737379e-05,0.00013745961635537414,True,117,117,0.0011131597913890691
D2,0.0033,8.610823530499512e-07,-1.7505794853952296e-05,7.715326996186213e-05,0.0001365214383951541,True,117,117,0.0011100636797064683
D2,0.0034000000000000002,6.2743383922935e-07,-1.731968138380448e-05,7.567828580439084e-05,0.00013571315533258065,True,117,117,0.001106980889887327
D2,0.0035,3.8603187091772206e-07,-1.7130626195492463e-05,7.420526442608134e-05,0.0001349063308256319,True,117,117,0.0011038956699069972
D2,0.0036000000000000003,1.0356277219969196e-06,-1.6938596068326556e-05,7.273427428476195e-05,0.00013410096556964185,True,117,117,0.0011008080427861522
D2,0.0037,1.951038431262332e-06,-1.6743557138865244e-05,7.126537321015923e-05,0.0001332970603455691,True,117,117,0.0010977180316736096
D2,0.0038,2.07540422399142e-06,-1.6545603819446576e-05,6.980062457068318e-05,0.00013249563782539477,True,117,117,0.001094626670453869
D2,0.0039000000000000003,2.2014146175389118e-06,-1.6346411292876536e-05,6.886792563390801e-05,0.00013171017225831742,True,117,117,0.001091547348352383
D2,0.004,2.054534603450231e-06,-1.7051515984266978e-05,6.947009051748527e-05,0.00013056612053044094,True,118,118,0.0010884708564529231
D2,0.0041,2.2872771395856e-06,-1.6836409631669862e-05,7.060055316285215e-05,0.0001297999778209484,True,118,118,0.0010853972804412745
D2,0.004200000000000001,2.454695385872637e-06,-1.661866840021314e-05,7.057077439780795e-05,0.00012904047849895405,True,118,118,0.0010823267057908132
D2,0.0043,2.6691550469189337e-06,-1.6398382016094886e-05,6.877655442088746e-05,0.00012828863277106471,True,118,118,0.0010792597405510002
D2,0.0044,2.825831196281628e-06,-1.6177051466937897e-05,6.6988141445698e-05,0.00012755740183488515,True,118,118,0.0010762033919004105
D2,0.0045000000000000005,2.952265313489268e-06,-1.5953616423501962e-05,6.479158390359238e-05,0.00012683779785819776,True,118,118,0.0010731529795554016
D2,0.0046,3.08133451346262e-06,-1.5728051811739438e-05,6.241089749190655e-05,0.0001261298767496517,True,118,118,0.0010701086259357565
D2,0.0047,3.0552693161670996e-06,-1.5500341685433207e-05,6.002681347868899e-05,0.0001254336950459819,True,118,118,0.0010670704524644785
D2,0.0048000000000000004,3.1532515678046327e-06,-1.5270563341860215e-05,5.925416060446529e-05,0.0001247502513611609,True,118,118,0.0010640385816872637
D2,0.0049,3.2631066739777595e-06,-1.5039941437282946e-05,6.024974590369428e-05,0.00012409201830011556,True,118,118,0.0010610131771216788
D2,0.005,3.1369737160320853e-06,-1.4807609661489747e-05,6.12294285011329e-05,0.00012345040043809194,True,118,118,0.0010579943600248732
