case_id,inner,time,method,interface_points_count,main_component_points_count,number_of_components,H_median,H_mean,H_p95,H_p99,H_max_after_ROI_filter,interface_roughness_rms,interface_roughness_peak_to_peak,max_slope,pseudo_spike_old_flag,pseudo_spike_ROI_flag,outer_wall_contamination_flag,top_boundary_contamination_flag,ring_boundary_contamination_flag,isolated_component_count,extraction_status,failure_reason,H_raw_global_old,H_robust_old,diagnostic_only
D0,50,0.0049,M0_old_original,120,120,1,3.592967825427415e-06,5.9866278659553866e-05,6.855019168438738e-05,0.00048188545144961704,0.0072839141184242555,0.0006738128193781484,0.008155864554759959,32.92264764498186,True,True,True,False,False,0,PASS,,0.0072839141184242555,3.592967825427415e-06,
D0,50,0.0049,M1_ROI_main_free_surface,118,118,1,3.240724170010973e-06,-1.4988691139053538e-05,6.015958139414969e-05,0.00012405745407215884,0.000492495809330171,0.00010613186090348778,0.0010625365159445278,5.14764492093334,False,True,False,False,False,0,PASS,,,,
D0,50,0.0049,M2_center_window,33,33,1,-7.752126294625619e-06,-5.949304929321952e-06,4.841274928992184e-05,6.308984234278671e-05,6.430509315699374e-05,3.0373416389107346e-05,0.0001442707769828241,1.7214419049938385,False,True,False,False,False,0,PASS,,,,
D0,50,0.0049,M3_farfield_reference,66,66,1,5.462009182101866e-06,1.6699921814638135e-05,0.0002048872940306486,0.0003642988136871538,0.0005378836699470085,0.00010454714808214384,0.0008590487198567283,5.0262651345490195,False,True,False,False,False,0,PASS,,,,
D0,50,0.0049,M4_smoothed_main_interface,118,118,1,4.40597203764781e-06,-4.992238754465526e-07,4.1552872009423075e-05,4.785049200193257e-05,5.275546658758186e-05,3.116981551951888e-05,0.00016022567333825186,0.17845032717297246,False,False,False,False,False,0,PASS,,,,True
D0,51,0.005,M0_old_original,120,120,1,3.735300898977926e-06,5.9920554807936405e-05,6.770919969929165e-05,0.00048188547522380235,0.007275474210678843,0.0006730252926376115,0.00814658742456063,32.883812448610115,True,True,True,False,False,0,PASS,,0.007275474210678843,3.735300898977926e-06,
D0,51,0.005,M1_ROI_main_free_surface,118,118,1,3.251740196620563e-06,-1.4757160293950098e-05,6.113935922338613e-05,0.00012341260910630282,0.000491567863207948,0.00010587146565611358,0.0010595430631147296,5.133841146172173,False,True,False,False,False,0,PASS,,,,
D0,51,0.005,M2_center_window,33,33,1,-7.311932367859539e-06,-5.7427757604222845e-06,4.8363052618488625e-05,6.328795616405613e-05,6.475605672608934e-05,3.0280901395222157e-05,0.00014468631157847005,1.6903722993321293,False,True,False,False,False,0,PASS,,,,
D0,51,0.005,M3_farfield_reference,66,66,1,5.685001793263777e-06,1.6747241918806423e-05,0.00020430238153696788,0.00036306604085269525,0.0005370973579561181,0.00010407507258027486,0.0008581649764678836,5.006760377626037,False,True,False,False,False,0,PASS,,,,
D0,51,0.005,M4_smoothed_main_interface,118,118,1,4.542495292090952e-06,-3.229284530566424e-07,4.0554928258836074e-05,4.9037877769533706e-05,5.343806556669468e-05,3.127059955094233e-05,0.00015999917810395826,0.17508524388592897,False,False,False,False,False,0,PASS,,,,True
